time,ward_id,scenario_id,avg_speed,congestion_score,queue_length,throughput,inflow,outflow,waiting_time,incident_flag,ambulance_flag,pressure,city_cap,ppo_action,ppo_action_id,area_directive,city_directive
19,ward_070,chaos_mode,1.7915623976730692,0.6666666666666666,2.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
19,ward_071,chaos_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
19,ward_072,chaos_mode,2.42083569206018,0.5,2.0,4.0,1.0,0.0,2.25,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
19,ward_017,chaos_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
19,ward_018,chaos_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
20,ward_070,chaos_mode,1.5166370701991267,0.6666666666666666,2.0,3.0,1.0,0.0,4.666666666666667,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
20,ward_071,chaos_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
20,ward_072,chaos_mode,2.053370618960078,0.4,2.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
20,ward_017,chaos_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
20,ward_018,chaos_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
21,ward_070,chaos_mode,1.5285091348039408,0.6666666666666666,2.0,3.0,0.0,0.0,5.333333333333333,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
21,ward_071,chaos_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
21,ward_072,chaos_mode,2.246721442218561,0.4,2.0,5.0,0.0,0.0,2.4,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
21,ward_017,chaos_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
21,ward_018,chaos_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
22,ward_070,chaos_mode,1.7578454646328885,0.6666666666666666,2.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
22,ward_071,chaos_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
22,ward_072,chaos_mode,2.669484267378897,0.4,2.0,5.0,0.0,0.0,2.8,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
22,ward_017,chaos_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
22,ward_018,chaos_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
23,ward_070,chaos_mode,2.4621976959566076,0.6666666666666666,2.0,3.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
23,ward_071,chaos_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
23,ward_072,chaos_mode,1.6750913495696849,0.6,3.0,5.0,0.0,0.0,3.4,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
