time,avg_speed,congestion_score,queue_length,throughput,trip_completion,travel_time,waiting_time,ambulance_delay,incident_delay,reroute_count
157,0.3505799125007062,0.9589473684210527,40.0,0.0,0.0,0.0,67.70912280701755,77.57894736842105,137.07894736842104,30
158,0.3500506717728011,0.9589473684210527,40.0,0.0,0.0,0.0,68.6680701754386,78.47368421052632,138.8736842105263,30
159,0.36407655176093356,0.9589473684210527,40.0,0.0,0.0,0.0,69.62701754385965,79.36842105263158,140.66842105263157,30
160,0.3398333713360445,0.96,41.0,0.0,0.0,0.0,69.78333333333333,76.25,138.45,30
161,0.35777364037552273,0.95,40.0,0.0,0.0,0.0,70.73333333333333,77.1,140.2,30
162,0.3844070061665809,0.95,40.0,0.0,0.0,0.0,71.68333333333334,77.95,141.95,30
163,0.41923814769288625,0.9514285714285714,41.0,0.0,0.0,0.0,71.88285714285715,75.04761904761905,139.94761904761907,30
164,0.4362913818014819,0.9419047619047619,40.0,0.0,0.0,0.0,72.82476190476191,75.85714285714286,141.65714285714284,30
165,0.4792686473887359,0.9419047619047619,40.0,0.0,0.0,0.0,73.76666666666668,76.66666666666667,143.36666666666667,30
166,0.458037906329284,0.9419047619047619,40.0,0.0,0.0,0.0,74.70857142857143,77.47619047619048,145.07619047619048,30
167,0.4273825335375145,0.9436363636363637,41.0,0.0,0.0,0.0,74.93878787878789,74.72727272727273,280.6939393939394,30
168,0.42097965702186074,0.9436363636363637,41.0,0.0,0.0,0.0,75.88242424242425,75.54545454545455,284.41212121212124,30
169,0.40154678701770397,0.9436363636363637,41.0,0.0,0.0,0.0,76.82606060606062,76.36363636363636,288.130303030303,30
170,0.4208831472570854,0.9436363636363637,41.0,0.0,0.0,0.0,77.76969696969698,77.18181818181819,291.8484848484849,30
171,0.4209507391503181,0.9436363636363637,43.0,0.0,0.0,0.0,74.17714285714285,200.78571428571428,272.8857142857143,30
172,0.6635325599261505,0.8817316017316017,41.0,0.0,0.0,0.0,75.05887445887446,203.2943722943723,276.2943722943723,30
173,0.8458595408698926,0.8817316017316017,41.0,0.0,0.0,0.0,75.94060606060607,205.8030303030303,279.70303030303035,30
174,1.0462698743503125,0.8833126293995859,42.0,0.0,0.0,0.0,76.12273291925466,204.8136645962733,279.6136645962733,30
175,1.2561740142496407,0.8833126293995859,42.0,0.0,0.0,0.0,77.00604554865424,207.33022774327122,283.0302277432712,30
176,1.2998429752851588,0.8833126293995859,42.0,0.0,0.0,0.0,77.88935817805383,209.84679089026915,286.44679089026914,30
177,1.2870899496010684,0.8833126293995859,42.0,0.0,0.0,0.0,78.77267080745341,212.36335403726707,393.8633540372671,30
178,1.2231893039474002,0.8880745341614906,43.0,0.0,0.0,0.0,77.58931677018634,204.54658385093168,387.9465838509317,30
179,1.307765010987439,0.8595031055900622,42.0,0.0,0.0,0.0,78.44881987577641,206.944099378882,392.24409937888197,30
180,1.3440484980332177,0.8613212874082439,43.0,0.0,0.0,0.0,77.85014116318465,209.34161490683232,389.2507058159232,35
181,1.1238828693408198,0.8431394692264258,42.0,0.0,0.0,0.0,78.69328063241107,211.73913043478262,393.46640316205537,35
182,0.9230344157682492,0.8476190476190476,44.0,0.0,0.0,0.0,77.59761904761905,210.6547619047619,387.98809523809524,35
183,1.245364443561711,0.8226190476190476,42.0,0.0,0.0,0.0,78.42023809523809,213.01785714285714,392.1011904761905,35
184,1.5603242393206709,0.8226190476190476,42.0,0.0,0.0,0.0,79.24285714285715,215.3809523809524,396.2142857142857,35
185,1.4373794034338203,0.8226190476190476,42.0,0.0,0.0,0.0,80.06547619047618,217.74404761904762,400.32738095238096,35
186,1.2484315504522407,0.8226190476190476,42.0,0.0,0.0,0.0,80.88809523809523,220.10714285714283,404.44047619047615,35
187,1.0872746197279135,0.8797619047619047,44.0,0.0,0.0,0.0,81.76785714285714,222.75595238095238,408.8392857142857,35
188,1.0909813061407265,0.8797619047619047,44.0,0.0,0.0,0.0,82.64761904761903,225.4047619047619,413.23809523809524,35
189,1.1011215783877064,0.9047619047619048,46.0,0.0,0.0,0.0,83.55238095238096,228.0952380952381,417.76190476190476,35
