time,avg_speed,congestion_score,queue_length,throughput,trip_completion,travel_time,waiting_time,ambulance_delay,incident_delay,reroute_count
161,0.3917653641002423,0.9625,34.0,0.0,0.0,0.0,71.10499999999999,0.0,146.375,30
162,0.4018270350890404,0.9625,34.0,0.0,0.0,0.0,72.0675,0.0,148.1875,30
163,0.3836180643900458,0.9632352941176471,35.0,0.0,0.0,0.0,72.08147058823529,0.0,145.25735294117646,30
164,0.40256617663724253,0.9514705882352942,34.0,0.0,0.0,0.0,73.03294117647059,0.0,147.01470588235293,30
165,0.432472679581242,0.9514705882352942,34.0,0.0,0.0,0.0,73.98441176470587,0.0,148.7720588235294,30
166,0.45827618532271275,0.9514705882352942,34.0,0.0,0.0,0.0,74.93588235294116,0.0,150.52941176470588,30
167,0.4787176504200216,0.9527777777777778,35.0,0.0,0.0,0.0,75.005,0.0,293.275,30
168,0.4984705208848615,0.9416666666666668,34.0,0.0,0.0,0.0,75.94666666666667,0.0,296.98333333333335,30
169,0.5314034969121006,0.9416666666666668,34.0,0.0,0.0,0.0,76.88833333333335,0.0,300.69166666666666,30
170,0.5601479238870628,0.9416666666666668,34.0,0.0,0.0,0.0,77.83,0.0,304.4,30
171,0.6070065681310982,0.9416666666666668,36.0,0.0,0.0,0.0,72.34166666666667,0.0,275.9583333333333,30
172,0.6789913125732594,0.8583333333333334,34.0,0.0,0.0,0.0,73.2,0.0,279.25,30
173,0.7316925645115775,0.8583333333333334,34.0,0.0,0.0,0.0,74.05833333333334,0.0,282.5416666666667,30
174,0.7869281917968671,0.8600877192982456,35.0,0.0,0.0,0.0,74.0657894736842,0.0,281.57894736842104,30
175,0.8516944030911624,0.8600877192982456,35.0,0.0,0.0,0.0,74.92587719298245,0.0,284.8793859649123,30
176,0.9019419527055923,0.8600877192982456,35.0,0.0,0.0,0.0,75.7859649122807,0.0,288.1798245614035,30
177,0.9876643952513019,0.8600877192982456,35.0,0.0,0.0,0.0,76.64605263157895,0.0,383.23026315789474,30
178,1.0030488881569721,0.8700877192982455,36.0,0.0,0.0,0.0,74.92614035087719,0.0,374.63070175438594,30
179,1.1211421838561582,0.8300877192982457,35.0,0.0,0.0,0.0,75.75622807017544,0.0,378.7811403508772,30
180,1.2343878129938235,0.8328654970760233,36.0,0.0,0.0,0.0,74.71409356725147,0.0,373.5704678362573,35
181,1.403421366678885,0.8106432748538012,35.0,0.0,0.0,0.0,75.52473684210526,0.0,377.62368421052633,35
182,1.5247837131764086,0.8166666666666667,37.0,0.0,0.0,0.0,73.97333333333334,0.0,369.8666666666667,35
183,1.7640541911798493,0.7866666666666667,35.0,0.0,0.0,0.0,74.76,0.0,373.8,35
184,1.9674967955001754,0.7866666666666667,35.0,0.0,0.0,0.0,75.54666666666665,0.0,377.73333333333335,35
185,2.0884475721367215,0.7866666666666667,35.0,0.0,0.0,0.0,76.33333333333334,0.0,381.6666666666667,35
186,2.266208315125547,0.7866666666666667,35.0,0.0,0.0,0.0,77.11999999999999,0.0,385.59999999999997,35
187,2.3890101115677393,0.7866666666666667,35.0,0.0,0.0,0.0,77.90666666666667,0.0,389.5333333333333,35
188,2.353183409394076,0.7866666666666667,35.0,0.0,0.0,0.0,78.69333333333334,0.0,393.4666666666667,35
189,2.148591263758811,0.7866666666666667,35.0,0.0,0.0,0.0,79.47999999999999,0.0,397.4,35
190,1.99992477817135,0.7866666666666667,35.0,0.0,0.0,0.0,80.26666666666667,0.0,401.3333333333333,35
191,2.0957640757059366,0.7966666666666666,36.0,0.0,0.0,0.0,81.06333333333333,0.0,405.31666666666666,35
192,2.13004329526549,0.8014285714285714,37.0,0.0,0.0,0.0,79.58857142857144,0.0,397.9428571428571,35
193,2.078929870076359,0.7728571428571429,36.0,0.0,0.0,0.0,80.36142857142859,0.0,401.8071428571429,35
194,1.9576827232998568,0.7728571428571429,36.0,0.0,0.0,0.0,81.13428571428571,0.0,405.6714285714286,35
195,1.8561102624219294,0.7728571428571429,36.0,0.0,0.0,0.0,81.90714285714286,0.0,409.5357142857143,35
196,1.7418234780721533,0.8503759398496239,38.0,0.0,0.0,0.0,83.70278195488723,0.0,418.51390977443606,35
197,1.796813657588396,0.8539473684210526,39.0,0.0,0.0,0.0,82.75315789473684,0.0,413.7657894736842,35
198,1.691326819941225,0.8411695906432749,40.0,0.0,0.0,0.0,80.02543859649123,0.0,400.12719298245617,35
